objectID,title,artistDisplayName,objectDate,classification,medium,department,primaryImage,primaryImageSmall,objectURL
36543,"The Suijin Temple Grove, Uchikawa, and the Village of Sekiya",Utagawa Hiroshige,8th month 1857,Prints,Woodblock print; ink and color on paper,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP121514.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP121514.jpg,https://www.metmuseum.org/art/collection/search/36543
37099,Dekishima Hanya Seated on a Cherry Tree,Torii Kiyonobu I,ca. 1700–05,Prints,Woodblock print; ink and color on paper,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP144553.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP144553.jpg,https://www.metmuseum.org/art/collection/search/37099
36436,Landscapes,Zhang Feng,dated 1644,Paintings,Album of twelve leaves; ink and color on paper,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP162771.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP162771.jpg,https://www.metmuseum.org/art/collection/search/36436
24317,Sacrificial Sword (Kartrī or Churī),,19th century,Knives,"Steel, brass, wood",Arms and Armor,https://images.metmuseum.org/CRDImages/aa/original/36.25.1285_002AA2016.jpg,https://images.metmuseum.org/CRDImages/aa/web-large/36.25.1285_002AA2016.jpg,https://www.metmuseum.org/art/collection/search/24317
35388,Two-Handed Sword,,ca. 1400–1450,Swords,"Steel, latten or copper alloy",Arms and Armor,https://images.metmuseum.org/CRDImages/aa/original/LC-L_2008_32_1-004-Edit.jpg,https://images.metmuseum.org/CRDImages/aa/web-large/LC-L_2008_32_1-004-Edit.jpg,https://www.metmuseum.org/art/collection/search/35388
37804,"Mandala of Manjuvajra, Tantric Form of the Bodhisattva Manjushri",,late 14th century,Paintings,Distemper on cloth,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP340770.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP340770.jpg,https://www.metmuseum.org/art/collection/search/37804
37878,Preparatory Study for a Portrait of Man Singh and His Harem,,1810–15,Drawings,"Ink and opaque watercolor on paper, pricked for transfer",Asian Art,https://images.metmuseum.org/CRDImages/as/original/34_89_recto.jpg,https://images.metmuseum.org/CRDImages/as/web-large/34_89_recto.jpg,https://www.metmuseum.org/art/collection/search/37878
38006,Portrait of the Indian Monk Atisha,,early to mid-12th century,Paintings,Distemper and gold on cloth,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP-42256-001.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-42256-001.jpg,https://www.metmuseum.org/art/collection/search/38006
38012,Melancholy Courtesan,,ca. 1750,Paintings,"Ink, gold and opaque watercolor on paper",Asian Art,https://images.metmuseum.org/CRDImages/as/original/DT3878.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DT3878.jpg,https://www.metmuseum.org/art/collection/search/38012
38452,The Death of the Buddha (Parinirvana),,ca. 3rd century,Sculpture,Schist,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP123361.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP123361.jpg,https://www.metmuseum.org/art/collection/search/38452
38634,Crowned  Bodhisattva,,3rd–early 4th century,Sculpture,Sandstone,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP701395.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP701395.jpg,https://www.metmuseum.org/art/collection/search/38634
38057,Sketch with Kali and a Young Boy,,ca. 1800,Paintings,Ink heightened with color on paper,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP152314.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP152314.jpg,https://www.metmuseum.org/art/collection/search/38057
38317,Plaque with Scenes from the Life of the Buddha,,12th century,Sculpture,Mudstone,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP102618.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP102618.jpg,https://www.metmuseum.org/art/collection/search/38317
38945,Hanuman Conversing,,11th century,Sculpture,Copper alloy,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DT5250.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DT5250.jpg,https://www.metmuseum.org/art/collection/search/38945
38777,Head of Buddha,,ca. 4th century,Sculpture,Stucco with traces of paint,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP123377.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP123377.jpg,https://www.metmuseum.org/art/collection/search/38777
39054,Seated Female Deity Holding a Conch and Branch (?),,last quarter of the 10th–first half of the 11th century,Sculpture,Bronze,Asian Art,https://images.metmuseum.org/CRDImages/as/original/262096.jpg,https://images.metmuseum.org/CRDImages/as/web-large/262096.jpg,https://www.metmuseum.org/art/collection/search/39054
39047,Seated Male Deity Holding a Cuirass (Chest Armour),,last quarter of the 10th–first half of the 11th century,Sculpture,Bronze,Asian Art,https://images.metmuseum.org/CRDImages/as/original/262094.jpg,https://images.metmuseum.org/CRDImages/as/web-large/262094.jpg,https://www.metmuseum.org/art/collection/search/39047
39134,"Jain Siddha Bahubali, Entwined with Forest Vines",,late 6th–7th century,Sculpture,Copper alloy,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP216814.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP216814.jpg,https://www.metmuseum.org/art/collection/search/39134
39046,Seated Male Deity Supporting a Vajra on His Finger,,last quarter of 10th–first half of 11th century,Sculpture,Bronze,Asian Art,https://images.metmuseum.org/CRDImages/as/original/264842.jpg,https://images.metmuseum.org/CRDImages/as/web-large/264842.jpg,https://www.metmuseum.org/art/collection/search/39046
38950,Bodhisattva Avalokiteshvara,,second quarter of the 8th century,Sculpture,Copper alloy inlaid with silver and glass or obsidian,Asian Art,https://images.metmuseum.org/CRDImages/as/original/LK_DP316445r3_25AA.jpg,https://images.metmuseum.org/CRDImages/as/web-large/LK_DP316445r3_25AA.jpg,https://www.metmuseum.org/art/collection/search/38950
38970,"Seated Ascetic, Deified King, Agni (The God of Fire)",,ca. 3rd century,Sculpture,Bronze,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP155519.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP155519.jpg,https://www.metmuseum.org/art/collection/search/38970
39048,Seated Male Deity Holding Two Ritual Objects,,last quarter of the 10th–first half of the 11th century,Sculpture,Bronze,Asian Art,https://images.metmuseum.org/CRDImages/as/original/262095.jpg,https://images.metmuseum.org/CRDImages/as/web-large/262095.jpg,https://www.metmuseum.org/art/collection/search/39048
39092,Bodhisattva  Avaolkiteshvara,,second half of the 7th–early 8th century,Sculpture,Copper alloy,Asian Art,https://images.metmuseum.org/CRDImages/as/original/LK.1987.145_DP301229r1_25AA.jpg,https://images.metmuseum.org/CRDImages/as/web-large/LK.1987.145_DP301229r1_25AA.jpg,https://www.metmuseum.org/art/collection/search/39092
39482,Mandala of Wakamiya of Kasuga Shrine (Kasuga wakamiya mandara),,early 14th century,Paintings,"Hanging scroll; ink, color, gold, and cut gold on silk",Asian Art,https://images.metmuseum.org/CRDImages/as/original/DT374578.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DT374578.jpg,https://www.metmuseum.org/art/collection/search/39482
39569,Eighteen Songs of a Nomad Flute: The Story of Lady Wenji,Unidentified artist,early 15th century,Paintings,"Handscroll; ink, color, and gold on silk",Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP213003_CRD.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP213003_CRD.jpg,https://www.metmuseum.org/art/collection/search/39569
39654,Garden of the Inept Administrator,Wen Zhengming,1551,Paintings,Album of eight leaves; ink on paper,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP235628_CRD.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP235628_CRD.jpg,https://www.metmuseum.org/art/collection/search/39654
39895,The Classic of Filial Piety,Li Gonglin,ca. 1085,Paintings,Handscroll; ink and color on silk,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP151528.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP151528.jpg,https://www.metmuseum.org/art/collection/search/39895
39742,"The Deity Vajrabhairava, Tantric Form of the Bodhisattva Manjushri",,early 15th century,Textiles-Embroidered,Silk embroidery with metal thread and horsehair on silk satin,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP-15583-002.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-15583-002.jpg,https://www.metmuseum.org/art/collection/search/39742
39993,Crane in a bamboo grove,Unidentified artist,14th–early 15th century,Paintings,Hanging scroll; ink and color on silk,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP235494.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP235494.jpg,https://www.metmuseum.org/art/collection/search/39993
39902,Surcoat (Jinbaori),,17th century,Costumes,"Body: China, for the European market, late 16th–17th century; silk velvet, cut and voided
Lining: China, late 16th–17th century; silk damask
Lapels: Japan, probably 18th century; lampas, silk and gilt-paper strips",Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP267562.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP267562.jpg,https://www.metmuseum.org/art/collection/search/39902
39901,Night-Shining White,Han Gan,ca. 750,Paintings,Handscroll; ink on paper,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP153705.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP153705.jpg,https://www.metmuseum.org/art/collection/search/39901
