slug,status,face_count,info
Louis_Pasteur__foto_av_Paul_Nadar__Crisco_edit,embedded,1,
Booker_T._Washington_by_Francis_Benjamin_Johnston__c._1895,embedded,1,
Ethel_Reed__ca._1895__by_Frances_Benjamin_Johnston,embedded,1,
Aletta_Jacobs__1895-1905,embedded,1,
Frances_Benjamin_Johnston__Self-Portrait__as__New_Woman__1896,embedded,1,
Mrs._Fiske___Love_finds_the_way__-_Zaida_Ben_Yusuf._LCCN2006677585_-_Restoration__levels_tweaked,embedded,1,
Leo_Tolstoy_1897__black_and_white__37767u,embedded,1,
Elsie_Leslie__1899__by_Zaida_Ben-Yusuf,embedded,1,
Johann_Strauss_II_by_Fritz_Luckhardt,embedded,1,
Pedro_II_of_Brazil_by_Nadar,embedded,1,
Paul_Nadar___Autoportrait_au_bureau_de_l_atelier__rue_d_Anjou,embedded,1,
Self_portrait_of_Edward_Sheriff_Curtis,embedded,1,
Claude_Debussy_by_Atelier_Nadar,embedded,1,
Alberto_Santos-Dumont_by_Nadar,embedded,1,
Ottmar_Mergenthaler__at_approximately_45_years_old,embedded,1,
Machado_de_Assis_by_Marc_Ferrez,embedded,1,
Charlotte_Perkins_Gilman_c._1900,embedded,1,
Peary,embedded,1,
Philippe_Chaperon_by_Atelier_Nadar,embedded,1,
Charlie_Chaplin_in_unknown_year,embedded,1,
Voltairine_de_Cleyre__Age_35,embedded,1,
Anna_Fernqvist__rollportr_tt_-_SMV_-_H1_122_-_Restoration,embedded,1,
William_Harvey_Carney_by_James_E_Reed_-_Restoration,embedded,1,
Edith_Kermit_Carow_Roosevelt_by_Frances_Benjamin_Johnston,embedded,1,
Alice_Roosevelt_by_Frances_Benjamin_Johnston,embedded,1,
Ida_M._Tarbell,embedded,1,
Nettie_Maria_Stevens,embedded,1,
Samuel_Coleridge-Taylor,embedded,1,
Hollow_Horn_Bear_LCCN_2016858434__2___cropped,embedded,1,
Ray_Strachey_restored,embedded,1,
Pach_Brothers_-_George_Foster_Peabody,embedded,1,
W.E.B._Du_Bois_by_James_E._Purdy__1907,embedded,1,
Nelly_Martyl_by_Jean_Reutlinger__Image_10715,embedded,1,
Carl_Nielsen_c._1908_-_Restoration,embedded,1,
NPG_2010_112_Lucia_Chamberlain_by_Zaida_Ben-Yusuf,embedded,1,
Salote_Tupou_III_of_Tonga_in_1908,embedded,1,
Holger_Drachmann__fra_Kl_bels_samling_-_Restoration,embedded,1,
John_Campbell_Dancy__Recorder_of_Deeds__Washington__D.C.,embedded,1,
Ernest_Shackleton_before_1909,embedded,1,
Theodore_Roosevelt_by_the_Pach_Bros,embedded,1,
Chief_Joseph_by_Edward_Sheriff_Curtis,embedded,1,
Cabinet_card_of_William_Howard_Taft_by_Pach_Brothers_-_Cropped_to_image,embedded,1,
Percival_Lowell_by_James_E._Purdy,embedded,1,
Keir_Hardie_by_George_Grantham_Bain,embedded,1,
Madam_C._J._Walker_by_Addison_N._Scurlock,embedded,1,
Renoir__Pierre-Auguste__by_Dornac__BNF_Gallica,embedded,1,
Hubertine_Auclert_1910,embedded,1,
Emily_Wilding_Davison_by_Andrew_William_Dron,embedded,1,
Emma_Smith_DeVoe_by_James___Bushnell_-_No_photographer_stamp,embedded,1,
Mary_Pickford_cph.3c17995u,embedded,1,
Ed_Walsh_portrait_1911,embedded,1,
Connie_Mack3,embedded,1,
Maresuke_Nogi_____1_-_Photo_only,embedded,1,
Raymond_Poincar__officiel,embedded,1,
Millicent_Fawcett,embedded,1,
Shoeless_Joe_Jackson_by_Conlon__1913,embedded,1,
Emmeline_Pankhurst__seated__1913,embedded,1,
Mrs._Crystal_Eastman_Benedict_by_Edmonston__Washington__D.C.,embedded,1,
Iris_Calderhead,embedded,1,
Elizabeth_Glendower_Evans__cropped,embedded,1,
Hattie_Caraway_by_Harris___Ewing__1914,embedded,1,
Michel_Fokine__Arlequin,no_face,0,
Portrait_of_Mary_Pickford__signed__CHS-2292__digital_restoration,embedded,1,
Alice_Paul__1915__by_Harris___Ewing,embedded,1,
Portrait_of_Paul_Trappen,embedded,1,
Alice_C._Evans__National_Photo_Company_portrait__circa_1915,embedded,1,
Jeannette_Rankin__Bain_News_Service__facing_front,embedded,1,
Eleftherios_Venizelos_1917,embedded,1,
Lewis_Wickes_Hine__The_charter_member_of_the_Red_Cross_Boy_Scout_Troop_Paris__September_1918_-_Library_of_Congress,embedded,1,
John_Meintz__punished_during_World_War_I_-_NARA_-_283633_-_restored,embedded,1,
Margaret_D._Foster__in_Lab__4_October_1919,embedded,1,
Lord_Edward_John_Moreton_Drax_Plunkett_Dunsany_by_Morrall-Hoole_Studios,embedded,1,
Helen_Keller_circa_1920_-_restored,embedded,1,
Ethel_Smyth,embedded,1,
Ren_e_Ador_e,embedded,1,
Ivor_Novello,embedded,1,
Jane_Addams_-_Bain_News_Service,embedded,1,
Bertha_Lutz_1925,embedded,1,
Avril_de_Sainte-Croix_-_Restored__cropped,embedded,1,
Busterkeaton_edit,embedded,1,
Jan_ten_Kate,embedded,1,
Lucie_Delarue-Mardrus_by_Henri_Manuel,embedded,1,
Learie_Constantine_1930_03,embedded,1,
Harold_Urey__1934,embedded,1,
Cary_Grant__1932,embedded,1,
Rosalind_Goodrich_Bates__1931,embedded,1,
Nelly_Diener_cropped,embedded,1,
Lange-MigrantMother02,embedded,1,
Bessie_Smith__1936__by_Carl_Van_Vechten,embedded,1,
Robert_Earl_Jones_in_Langston_Hughes__Don_t_You_Want_to_be_Free___23_June_1938__photograph_by_Carl_Van_Vechten,embedded,1,
Son_of_farmer_in_dust_bowl_area__Cimarron_County__Oklahoma__8b38282__original,embedded,1,
Max_Planck_by_Hugo_Erfurth_1938cr_-_restoration1,embedded,1,
Nude__Charis__Santa_Monica,no_face,0,
Clara_Bow__grayscale,embedded,1,
Kissing_the_War_Goodbye,embedded_multi,2,
Marian_Anderson,embedded,1,
Portrait_of_Henri_Frenay__head_and_shoulders_ppmsca.13371_edit,embedded,1,
Gordon_Parks_-_American_Gothic,embedded,1,
Joseph_Stalin__Franklin_D_Roosevelt_and_Winston_Churchill__in_Teheran__1943__edit,embedded_multi,3,
Haane_Manahi,embedded,1,
Enrico_Fermi_1943-49,embedded,1,
DouglasMacArthur,embedded,1,
Capt._Della_H._Raney__Army_Nurse_Corps__who_now_heads_the_nursing_staff_at_the_station_hospital_at_Camp_Beale__CA_-_NARA,embedded,1,
Mary_Lou_Williams__Gottlieb_09231,embedded_multi,2,
Django_Reinhardt__Gottlieb_07301,embedded,1,
Carl_Van_Vechten_-_Shirley_Graham_Du_Bois,embedded,1,
Billy_Strayhorn__New_York__N.Y.__between_1946_and_1948__William_P._Gottlieb_08211,embedded,1,
Thelonious_Monk__Minton_s_Playhouse__New_York__N.Y.__ca._Sept._1947__William_P._Gottlieb_06191,embedded,1,
Louis_Armstrong_in_Color__restored,embedded,1,
Art_Tatum__Vogue_Room_1948__Gottlieb,embedded,1,
William_Grant_Still_by_Carl_Van_Vechten,embedded,1,
Gene_Autry__NPG_94_39,embedded,1,
Walter_Francis_White_by_Clara_Sipprell,embedded,1,
Louis_Armstrong_restored,embedded,1,
Louis_Armstrong2,embedded,1,
Jackie_Robinson__Brooklyn_Dodgers__1954,embedded,1,
Pauline_Kirby__5493900611,embedded,1,
Lies_Noor__c._1956__Djakartawood__no_name,embedded,1,
Aminah_Cendrakasih__c._1959__by_Tati_Photo_Studio,embedded,1,
Elvis_Presley__Modern_Screen__June_1958,embedded,1,
Bob_Dylan_1963_promo_photo_by_Don_Hunstein,embedded,1,
Huey_Newton__Black_Panther_Minister_of_Defense_-_Black_Panther_poster,embedded,1,
Farida_Arriany__c._1960__signed,embedded,1,
Maria_von_Braun_6330121_edited,embedded,1,
Golda_Meir__1964,embedded,1,
Malcolm_X_NYWTS_2a,embedded,1,
Malcolm_X_1964_press_photo,embedded,1,
Kurt_Vonnegut_by_Bernard_Gotfryd__1965,embedded,1,
Abbey_Lincoln_in_1966,embedded,1,
Dorothy_Houston_Jacobson_1967,embedded,1,
Sharon_Tate_Valley_of_the_Dolls_1967_-_Restoration,embedded,1,
Dorothy_Anstett__Miss_USA__1968-bluish_tint_fix_attempt,embedded_multi,2,
A.J._Muste__anti-war_activist__cropped,embedded,1,
Ike___Tina_Turner__Bestanddeelnr_924-2170_-_Restoration,embedded_multi,2,
Luchino_Visconti_1972,embedded,1,
Shirley_Chisholm,embedded,1,
Angela_Davis_in_a_half-length_portrait_by_Bernard_Gotfryd_-_crop,embedded,1,
Senador_Tancredo_Neves,embedded,1,
Lauren_Bacall_by_Bernard_Gotfryd,embedded,1,
Phyllis_Diller_by_Allan_Warren,embedded,1,
Rita_Levi-Montalcini__1986,embedded,1,
Al_Grey__Gottlieb,embedded,1,
Stefan_Heym__1982,embedded,1,
Serge_Gainsbourg_par_Claude_Truong-Ngoc_1981,embedded,1,
Sally_Ride__1984,embedded,1,
Peter_Ustinov_black___white_Allan_Warren,embedded,1,
Jorge_Amado__gtfy.00010,embedded,1,
Olivia_de_Havilland__actress__1985_-_levels_adjustment,embedded,1,
Sophia_Loren_62_Allan_Warren,embedded,1,
Sammy_Davis_Jnr_Allan_Warren,embedded,1,
