local_file,extracted_name,wikipedia_title,date,original_caption,image_url,file_page,download_status
images/Henry_Highland_Garnet_by_James_U._Stead.jpg,Henry Highland Garnet,Henry Highland Garnet,c. 1881,Henry Highland Garnet by James U. Stead,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Henry_Highland_Garnet_by_James_U._Stead.jpg/800px-Henry_Highland_Garnet_by_James_U._Stead.jpg,https://commons.wikimedia.org/wiki/File:Henry_Highland_Garnet_by_James_U._Stead.jpg,ok
images/A_Wilde_time_3.jpg,Oscar Wilde,Oscar Wilde,1882,Oscar Wilde,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/A_Wilde_time_3.jpg/800px-A_Wilde_time_3.jpg,https://commons.wikimedia.org/wiki/File:A_Wilde_time_3.jpg,ok
images/Oscar_Wilde_by_Napoleon_Sarony._Three-quarter-length_ph_03e0cabf.jpg,Oscar Wilde,Oscar Wilde,1882,"Oscar Wilde by Napoleon Sarony. Three-quarter-length photograph, seated",https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Oscar_Wilde_by_Napoleon_Sarony._Three-quarter-length_photograph%2C_seated.jpg/800px-Oscar_Wilde_by_Napoleon_Sarony._Three-quarter-length_photograph%2C_seated.jpg,"https://commons.wikimedia.org/wiki/File:Oscar_Wilde_by_Napoleon_Sarony._Three-quarter-length_photograph,_seated.jpg",ok
images/Nathan_Francis_Mossell__1856-1946__M.D._1882__portrait__7ecb1dae.jpg,Nathan Francis Mossell,Nathan Francis Mossell,1882,"Nathan Francis Mossell (1856-1946), M.D. 1882, portrait photograph by H.D. Carns & Co; Image ID 27593990",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Nathan_Francis_Mossell_%281856-1946%29%2C_M.D._1882%2C_portrait_photograph_by_H.D._Carns_%26_Co%3B_Image_ID_27593990.jpg/800px-Nathan_Francis_Mossell_%281856-1946%29%2C_M.D._1882%2C_portrait_photograph_by_H.D._Carns_%26_Co%3B_Image_ID_27593990.jpg,"https://commons.wikimedia.org/wiki/File:Nathan_Francis_Mossell_(1856-1946),_M.D._1882,_portrait_photograph_by_H.D._Carns_%26_Co;_Image_ID_27593990.jpg",ok
images/Granville_Stuart_1883_by_L._A._Huffman.jpg,Granville Stuart,Granville Stuart,1883,Granville Stuart 1883 by L. A. Huffman,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Granville_Stuart_1883_by_L._A._Huffman.jpg/800px-Granville_Stuart_1883_by_L._A._Huffman.jpg,https://commons.wikimedia.org/wiki/File:Granville_Stuart_1883_by_L._A._Huffman.jpg,ok
images/Jules_Verne_by__tienne_Carjat.jpg,Jules Verne,Jules Verne,1884,Jules Verne by Étienne Carjat,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Jules_Verne_by_%C3%89tienne_Carjat.jpg/800px-Jules_Verne_by_%C3%89tienne_Carjat.jpg,https://commons.wikimedia.org/wiki/File:Jules_Verne_by_%C3%89tienne_Carjat.jpg,ok
images/Thomas_Mundy_Peterson_by_William_R._Tobias.jpg,Thomas Mundy Peterson,Thomas Mundy Peterson,1884,Thomas Mundy Peterson by William R. Tobias,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Thomas_Mundy_Peterson_by_William_R._Tobias.jpg/800px-Thomas_Mundy_Peterson_by_William_R._Tobias.jpg,https://commons.wikimedia.org/wiki/File:Thomas_Mundy_Peterson_by_William_R._Tobias.jpg,ok
images/Amanda_Berry_Smith_by_T._B._Latchmore.jpg,Amanda Berry Smith,Amanda Smith,c. 1885,Amanda Berry Smith by T. B. Latchmore,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Amanda_Berry_Smith_by_T._B._Latchmore.jpg/800px-Amanda_Berry_Smith_by_T._B._Latchmore.jpg,https://commons.wikimedia.org/wiki/File:Amanda_Berry_Smith_by_T._B._Latchmore.jpg,ok
images/Frances_Folsom_Cleveland__by_Charles_Milton_Bell.jpg,Frances Folsom Cleveland,Frances Cleveland,1886,"Frances Folsom Cleveland, by Charles Milton Bell",https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Frances_Folsom_Cleveland%2C_by_Charles_Milton_Bell.jpg/800px-Frances_Folsom_Cleveland%2C_by_Charles_Milton_Bell.jpg,"https://commons.wikimedia.org/wiki/File:Frances_Folsom_Cleveland,_by_Charles_Milton_Bell.jpg",ok
images/William_John_Macquorn_Rankine_by_Thomas_Annan.jpg,William John Macquorn Rankine,W. J. M. Rankine,1887,William John Macquorn Rankine by Thomas Annan,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/William_John_Macquorn_Rankine_by_Thomas_Annan.jpg/800px-William_John_Macquorn_Rankine_by_Thomas_Annan.jpg,https://commons.wikimedia.org/wiki/File:William_John_Macquorn_Rankine_by_Thomas_Annan.jpg,ok
images/Sergius_Stepniak_by_Elliott___Fry.jpg,Sergius Stepniak,Sergei Stepniak,1880s,Sergius Stepniak by Elliott & Fry,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Sergius_Stepniak_by_Elliott_%26_Fry.jpg/800px-Sergius_Stepniak_by_Elliott_%26_Fry.jpg,https://commons.wikimedia.org/wiki/File:Sergius_Stepniak_by_Elliott_%26_Fry.jpg,ok
images/Chester_A._Arthur_by_Abraham_Bogardus.jpg,Chester A. Arthur,Chester A. Arthur,1880s,Chester A. Arthur by Abraham Bogardus,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Chester_A._Arthur_by_Abraham_Bogardus.jpg/800px-Chester_A._Arthur_by_Abraham_Bogardus.jpg,https://commons.wikimedia.org/wiki/File:Chester_A._Arthur_by_Abraham_Bogardus.jpg,ok
images/Helen_Hunt_Jackson_by_Charles_F._Conly.jpg,Helen Hunt Jackson,Helen Hunt Jackson,,Helen Hunt Jackson by Charles F. Conly,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Helen_Hunt_Jackson_by_Charles_F._Conly.jpg/800px-Helen_Hunt_Jackson_by_Charles_F._Conly.jpg,https://commons.wikimedia.org/wiki/File:Helen_Hunt_Jackson_by_Charles_F._Conly.jpg,ok
images/Robert_Browning_by_Herbert_Rose_Barraud__circa_1888.jpg,Robert Browning,Robert Browning,,"Robert Browning by Herbert Rose Barraud, circa 1888",https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Robert_Browning_by_Herbert_Rose_Barraud%2C_circa_1888.jpg/800px-Robert_Browning_by_Herbert_Rose_Barraud%2C_circa_1888.jpg,"https://commons.wikimedia.org/wiki/File:Robert_Browning_by_Herbert_Rose_Barraud,_circa_1888.jpg",ok
images/Lysander_Spooner_by_Hardy.jpg,Lysander Spooner,Lysander Spooner,,Lysander Spooner by Hardy,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Lysander_Spooner_by_Hardy.jpg/800px-Lysander_Spooner_by_Hardy.jpg,https://commons.wikimedia.org/wiki/File:Lysander_Spooner_by_Hardy.jpg,ok
images/Wilhelm_Conrad_R_ntgen__1888-1900__88374_p.jpg,Wilhelm Conrad Röntgen,Wilhelm Röntgen,,"Wilhelm Conrad Röntgen (1888-1900), 88374 p",https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Wilhelm_Conrad_R%C3%B6ntgen_%281888-1900%29%2C_88374_p.jpg/800px-Wilhelm_Conrad_R%C3%B6ntgen_%281888-1900%29%2C_88374_p.jpg,"https://commons.wikimedia.org/wiki/File:Wilhelm_Conrad_R%C3%B6ntgen_(1888-1900),_88374_p.jpg",ok
images/Alexander_Graham_Bell_1895_NPG_77_363.jpg,Alexander Graham Bell,Alexander Graham Bell,,Alexander Graham Bell 1895 NPG 77 363,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Alexander_Graham_Bell_1895_NPG_77_363.jpg/800px-Alexander_Graham_Bell_1895_NPG_77_363.jpg,https://commons.wikimedia.org/wiki/File:Alexander_Graham_Bell_1895_NPG_77_363.jpg,ok
images/Santa_Claus_LCCN95504975.jpg,Santa Claus,Santa Claus,,Santa Claus LCCN95504975,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Santa_Claus_LCCN95504975.jpg/800px-Santa_Claus_LCCN95504975.jpg,https://commons.wikimedia.org/wiki/File:Santa_Claus_LCCN95504975.jpg,ok
images/Charles_Gounod__1890__by_Nadar.jpg,Charles Gounod,Charles Gounod,1890,Charles Gounod by Nadar,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Charles_Gounod_%281890%29_by_Nadar.jpg/800px-Charles_Gounod_%281890%29_by_Nadar.jpg,https://commons.wikimedia.org/wiki/File:Charles_Gounod_(1890)_by_Nadar.jpg,ok
images/Paul_Nadar_-_Henri_Becquerel.jpg,Henri Becquerel,Henri Becquerel,1890-1908,Henri Becquerel,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Paul_Nadar_-_Henri_Becquerel.jpg/800px-Paul_Nadar_-_Henri_Becquerel.jpg,https://commons.wikimedia.org/wiki/File:Paul_Nadar_-_Henri_Becquerel.jpg,ok
images/Mattie_Edwards_Hewitt_-_half-length_photo_by_Frances_Be_3651289b.jpg,Mattie Edwards Hewitt,Mattie Edwards Hewitt,1890-1910,Mattie Edwards Hewitt,https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/Mattie_Edwards_Hewitt_-_half-length_photo_by_Frances_Benjamin_Johnston.jpg/800px-Mattie_Edwards_Hewitt_-_half-length_photo_by_Frances_Benjamin_Johnston.jpg,https://commons.wikimedia.org/wiki/File:Mattie_Edwards_Hewitt_-_half-length_photo_by_Frances_Benjamin_Johnston.jpg,ok
images/Liliuokalani__c._1891.jpg,Liliuokalani,Liliʻuokalani,1891,"Liliuokalani, c. 1891",https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Liliuokalani%2C_c._1891.jpg/800px-Liliuokalani%2C_c._1891.jpg,"https://commons.wikimedia.org/wiki/File:Liliuokalani,_c._1891.jpg",ok
images/La_Belle_Otero__par_Jean_Reutlinger__sepia.jpg,La Belle Otero,La Belle Otero,between 1891 and 1914,La Belle Otero,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/La_Belle_Otero%2C_par_Jean_Reutlinger%2C_sepia.jpg/800px-La_Belle_Otero%2C_par_Jean_Reutlinger%2C_sepia.jpg,"https://commons.wikimedia.org/wiki/File:La_Belle_Otero,_par_Jean_Reutlinger,_sepia.jpg",ok
images/Fausta_Labia__portr_tt_-_SMV_-_H5_028_-_Restoration.jpg,Fausta Labia,Fausta Labia,1893,"Fausta Labia, porträtt - SMV - H5 028 - Restoration",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Fausta_Labia%2C_portr%C3%A4tt_-_SMV_-_H5_028_-_Restoration.jpg/800px-Fausta_Labia%2C_portr%C3%A4tt_-_SMV_-_H5_028_-_Restoration.jpg,"https://commons.wikimedia.org/wiki/File:Fausta_Labia,_portr%C3%A4tt_-_SMV_-_H5_028_-_Restoration.jpg",ok
images/Mary_Garrity_-_Ida_B._Wells-Barnett_-_Google_Art_Projec_3733943f.jpg,Ida B. Wells-Barnett,Ida B. Wells,ca. 1893,Ida B. Wells-Barnett,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Mary_Garrity_-_Ida_B._Wells-Barnett_-_Google_Art_Project_-_restoration_crop.jpg/800px-Mary_Garrity_-_Ida_B._Wells-Barnett_-_Google_Art_Project_-_restoration_crop.jpg,https://commons.wikimedia.org/wiki/File:Mary_Garrity_-_Ida_B._Wells-Barnett_-_Google_Art_Project_-_restoration_crop.jpg,ok
images/Wilhelm_Benque_-_Photograph_of_Ambroise_Thomas.jpg,Ambroise Thomas,Ambroise Thomas,c. 1894,Ambroise Thomas,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Wilhelm_Benque_-_Photograph_of_Ambroise_Thomas.jpg/800px-Wilhelm_Benque_-_Photograph_of_Ambroise_Thomas.jpg,https://commons.wikimedia.org/wiki/File:Wilhelm_Benque_-_Photograph_of_Ambroise_Thomas.jpg,ok
images/Bertillon__Alphonse__fiche_anthropom_trique_recto-verso.jpg,Alphonse Bertillon,Alphonse Bertillon,1893,Alphonse Bertillon,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Bertillon%2C_Alphonse%2C_fiche_anthropom%C3%A9trique_recto-verso.jpg/800px-Bertillon%2C_Alphonse%2C_fiche_anthropom%C3%A9trique_recto-verso.jpg,"https://commons.wikimedia.org/wiki/File:Bertillon,_Alphonse,_fiche_anthropom%C3%A9trique_recto-verso.jpg",ok
images/Portrait_of_Charles_Nettleton_1893_Talma___Co._H3995.jpg,Charles Nettleton,Charles Nettleton,1893,Portrait of Charles Nettleton 1893 Talma & Co. H3995,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Portrait_of_Charles_Nettleton_1893_Talma_%26_Co._H3995.jpg/800px-Portrait_of_Charles_Nettleton_1893_Talma_%26_Co._H3995.jpg,https://commons.wikimedia.org/wiki/File:Portrait_of_Charles_Nettleton_1893_Talma_%26_Co._H3995.jpg,ok
images/Louis_Pasteur__foto_av_Paul_Nadar__Crisco_edit.jpg,Louis Pasteur,Louis Pasteur,1895,"Louis Pasteur, photo by Paul Nadar",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Louis_Pasteur%2C_foto_av_Paul_Nadar%2C_Crisco_edit.jpg/800px-Louis_Pasteur%2C_foto_av_Paul_Nadar%2C_Crisco_edit.jpg,"https://commons.wikimedia.org/wiki/File:Louis_Pasteur,_foto_av_Paul_Nadar,_Crisco_edit.jpg",ok
images/Booker_T._Washington_by_Francis_Benjamin_Johnston__c._1895.jpg,Booker T. Washington,Booker T. Washington,c. 1895,"Booker T. Washington by Francis Benjamin Johnston, c. 1895",https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Booker_T._Washington_by_Francis_Benjamin_Johnston%2C_c._1895.jpg/800px-Booker_T._Washington_by_Francis_Benjamin_Johnston%2C_c._1895.jpg,"https://commons.wikimedia.org/wiki/File:Booker_T._Washington_by_Francis_Benjamin_Johnston,_c._1895.jpg",ok
